step,explore,phase,skill,success,ig,pcg_entropy,shd,causal_prec,causal_rec,int_precision,sig_edges,achieved_count
1,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
2,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
3,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
4,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
5,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
6,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
7,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
8,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
9,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
10,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
11,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
12,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
13,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
14,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
15,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
16,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
17,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
18,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
19,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
20,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
21,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
22,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
23,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
24,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
25,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
26,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
27,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
28,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
29,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
30,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
31,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
32,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
33,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
34,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
35,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
36,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
37,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
38,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
39,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
40,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
41,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
42,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
43,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
44,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
45,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
46,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
47,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
48,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
49,1,novel,coal↑,1,0.000000,47.8236,10,0.0000,0.0000,1.0000,10,1
